input,output
Will: What's happening? It hurts. It hurts! It hurts! It hurts! Let me go! Let me go! It hurts! It hurts! Let me go! Let me go! It hurts!,Will: Mom.
Will: Mom.,Joyce: No!
Joyce: No!,Will: Let me go! Let me go! Let me go!
Will: Let me go! Let me go! Let me go!,Dustin: Hello! Whoa!
Dustin: Hello! Whoa!,Mike: Incredible.
Mike: Incredible.,Max: I told you. Zoomer.
Max: I told you. Zoomer.,"Steve: Guys. Oh, no. Guys. Hey, where do you think you're going? What are you, deaf? Hello? We are not going down there right now. I made myself clear. Hey, there's no chance we're going to that hole, all right? This ends right now!"
"Steve: Guys. Oh, no. Guys. Hey, where do you think you're going? What are you, deaf? Hello? We are not going down there right now. I made myself clear. Hey, there's no chance we're going to that hole, all right? This ends right now!","Dustin: Steve, you're upset, I get it. But the bottom line is, a party member requires assistance, and it is our duty to provide that assistance. Now, I know you promised Nance that you would keep us safe. So, keep us safe."
"Dustin: Steve, you're upset, I get it. But the bottom line is, a party member requires assistance, and it is our duty to provide that assistance. Now, I know you promised Nance that you would keep us safe. So, keep us safe.",Steve: Holy shit.
Steve: Holy shit.,"Mike: Yeah, I'm pretty sure it's this way."
"Mike: Yeah, I'm pretty sure it's this way.","Dustin: You're pretty sure, or you're certain?"
"Dustin: You're pretty sure, or you're certain?",Mike: I'm 100% sure. Just follow me and you'll know.
Mike: I'm 100% sure. Just follow me and you'll know.,"Steve: Whoa, whoa, whoa. Hey, hey, hey, hey. I don't think so."
"Steve: Whoa, whoa, whoa. Hey, hey, hey, hey. I don't think so.",Mike: What?
Mike: What?,"Steve: Any of you little shits die down here, I'm getting the blame. Got it, dipshit? From here on out, I'm leading the way. Come on, let's go. Come on. Hey, a little hustle."
"Steve: Any of you little shits die down here, I'm getting the blame. Got it, dipshit? From here on out, I'm leading the way. Come on, let's go. Come on. Hey, a little hustle.","Hopper: Stay here. Oh, shit. Hey, Doc."
"Hopper: Stay here. Oh, shit. Hey, Doc.","Owens: Those suckers got you pretty good, huh?"
"Owens: Those suckers got you pretty good, huh?","Hopper: It's okay, don't talk. Don't talk. I got you. I got you. I got you. Oh, yeah, I've been meaning to tell you. This is Eleven. Eleven, Doc Owens. Doc Owens, Eleven. She's been staying with me for about a year and she's about to save our asses. Maybe when this is all said and done, maybe you could help her out, too, you know? Maybe you could help her lead, like, a normal life. One where she's not poked and prodded and... treated like some kind of lab rat, you know? I don't know, just a thought. But, uh... think about it. Don't go anywhere."
"Hopper: It's okay, don't talk. Don't talk. I got you. I got you. I got you. Oh, yeah, I've been meaning to tell you. This is Eleven. Eleven, Doc Owens. Doc Owens, Eleven. She's been staying with me for about a year and she's about to save our asses. Maybe when this is all said and done, maybe you could help her out, too, you know? Maybe you could help her lead, like, a normal life. One where she's not poked and prodded and... treated like some kind of lab rat, you know? I don't know, just a thought. But, uh... think about it. Don't go anywhere.",Lucas: God.
Lucas: God.,Max: What is this place?
Max: What is this place?,"Steve: Guys, come on. Keep moving."
"Steve: Guys, come on. Keep moving.",Dustin: What the hell? Shit! Help! Help! Help!
Dustin: What the hell? Shit! Help! Help! Help!,Mike: Dustin.
Mike: Dustin.,Dustin: Shit!
Dustin: Shit!,Lucas: Dustin!
Lucas: Dustin!,Max: Dustin!
Max: Dustin!,Steve: What happened?
Steve: What happened?,Dustin: It's in my mouth! Some got on my mouth! Shit! I'm okay.
Dustin: It's in my mouth! Some got on my mouth! Shit! I'm okay.,Max: You serious?
Max: You serious?,"Lucas: Very funny, man."
"Lucas: Very funny, man.",Max: Nice. Very nice.
Max: Nice. Very nice.,"Mike: Jesus, what an idiot."
"Mike: Jesus, what an idiot.","Dustin: Hang on. Wait, wait."
"Dustin: Hang on. Wait, wait.","Steve: All right, Wheeler. I think we found your hub."
"Steve: All right, Wheeler. I think we found your hub.",Mike: Drench it.
Mike: Drench it.,"Will: It's not working. It's not working. Mom, are you listening to me?"
"Will: It's not working. It's not working. Mom, are you listening to me?",Joyce: Just wait!
Joyce: Just wait!,Jonathan: How much longer? Look... look at him!
Jonathan: How much longer? Look... look at him!,"Joyce: Jonathan, wait!"
"Joyce: Jonathan, wait!",Jonathan: You're killing him!
Jonathan: You're killing him!,Joyce: Just wait!
Joyce: Just wait!,Jonathan: No!
Jonathan: No!,"Joyce: No, leave it!"
"Joyce: No, leave it!",Jonathan: You're killing him!
Jonathan: You're killing him!,Joyce: Leave it!
Joyce: Leave it!,"Jonathan: Wait, Jonathan, Jonathan! His neck! His neck!"
"Jonathan: Wait, Jonathan, Jonathan! His neck! His neck!",Hopper: Stay here.
Hopper: Stay here.,Steve: You ready?
Steve: You ready?,Mike: Yeah.
Mike: Yeah.,Lucas: Ready.
Lucas: Ready.,Max: Ready.
Max: Ready.,Dustin: Light her up.
Dustin: Light her up.,Steve: I am in such deep shit.
Steve: I am in such deep shit.,Joyce: Get the hell out of my son!
Joyce: Get the hell out of my son!,"Mike: Go, go, go!"
"Mike: Go, go, go!","Dustin: Let's go, let's go!"
"Dustin: Let's go, let's go!","Steve: Oh, my God. Oh, my God."
"Steve: Oh, my God. Oh, my God.","Joyce: Will, baby. Will. Will. Please, Will. Will."
"Joyce: Will, baby. Will. Will. Please, Will. Will.","Jonathan: Come on, buddy."
"Jonathan: Come on, buddy.",Joyce: Please. Can you hear me? Please. Will.
Joyce: Please. Can you hear me? Please. Will.,Will: Mom?
Will: Mom?,"Joyce: Oh, honey. Oh, God."
"Joyce: Oh, honey. Oh, God.","Jonathan: Chief, are you there? Chief, do you copy?"
"Jonathan: Chief, are you there? Chief, do you copy?","Hopper: Yeah, I copy."
"Hopper: Yeah, I copy.",Jonathan: Close it.
Jonathan: Close it.,"Steve: Oh, my God! Oh, my God! Oh, my God! Oh, my God! Hey, this way!"
"Steve: Oh, my God! Oh, my God! Oh, my God! Oh, my God! Hey, this way!",Mike: Help! Help! Help! Help!
Mike: Help! Help! Help! Help!,Steve: Hold on!
Steve: Hold on!,"Dustin: Steve, pull him out."
"Dustin: Steve, pull him out.",Lucas: Everybody back! Back! You good?
Lucas: Everybody back! Back! You good?,Dustin: You okay?
Dustin: You okay?,"Steve: Guys, we gotta go!"
"Steve: Guys, we gotta go!",Dustin: Dart. Shh. Stop.
Dustin: Dart. Shh. Stop.,"Max: Dustin, get back."
"Max: Dustin, get back.","Dustin: Trust me, please. Hey. It's me, it's me. It's just your friend, it's Dustin. It's Dustin, all right? You remember me? Will you let us pass? Okay, okay, I'm sorry. I'm sorry about the storm cellar. That was a pretty douchey thing to do. You hungry? Yeah? I've got our favorite. See? Nougat. Look at that. Yummy. Here, all right? Eat up, buddy. Come on. Come on. There's plenty. I've got more. Goodbye, buddy."
