Jonathan,"We have to do it somewhere he doesn't know this time."
Hopper,"Yeah, somewhere far away. Take Denfield, then you'll see a large oak tree. You're gonna swing a right. That road is gonna dead-end. And it's about a five-minute walk from there."
Jonathan,"Okay. Denfield to oak tree. Swing a right. That's it. But it's channel ten, right?"
Hopper,"It's channel ten. Listen... You let me know when that thing is out of him."
Nancy,"You should go with him."
Steve,"What?"
Nancy,"With Jonathan. No, I'm... I'm not just gonna leave Mike."
Steve,"No one's leaving anyone. I may be a pretty shitty boyfriend, but... turns out I'm actually a pretty damn good babysitter."
Nancy,"Steve..."
Steve,"It's okay, Nance. It's okay."
Nancy,"Just be careful, okay? I can't lose you again."
Steve,"You won't lose me."
Nancy,"Do you promise?"
Steve,"Promise."
Hopper,"El... Come on, let's go. It's time."
Eleven,"Okay."
Hopper,"So, what, we're just not gonna talk about it, huh?"
Eleven,"About what?"
Hopper,"Oh, I don't know. I'm just curious, you know, why all of a sudden you look like some kind of MTV punk. I'm not mad, kid. I just want to know where you've been. That's all."
Eleven,"To see Mama."
Hopper,"Okay. How'd you get there?"
Eleven,"A truck."
Hopper,"A truck?"
Eleven,"A big truck."
Hopper,"A big truck? Whose truck was it?"
Eleven,"A man's."
Hopper,"A man's?"
Eleven,"A nice man."
Hopper,"Okay. So let me just get this straight in my head. So a nice man in a big truck, he drove you to your mama's, and then what? Your Aunt Becky gave you those clothes and that makeup?"
Eleven,"I... I shouldn't have left."
Hopper,"Mmm-mmm. No. No, this isn't on you, kid. I should've been there. I should never have lied to you about your mom. Or about when you could leave. A lot of things I shouldn't have done. Sometimes I feel like I'm... Like I'm just some kind of black hole or something."
Eleven,"A black hole?"
Hopper,"Yeah, it's a... You know, it's this thing in outer space. It's like, it sucks everything towards it and destroys it. Sarah had a picture book about outer space. She loved it."
Eleven,"Who's Sarah?"
Hopper,"Sarah? Sarah's my girl. She's my little girl."
Eleven,"Where is she?"
Hopper,"Well, that's kind of the thing, kid. She, uh... She left us."
Eleven,"Gone."
Hopper,"Yeah. The black hole. It got her. And somehow... I've just been scared, you know? I've just been scared that it would take you, too. I think that's why I get... so mad. I'm so sorry. For everything. I could be so... so..."
Eleven,"Stupid?"
Hopper,"Yeah. Stupid. Just really stupid."
Eleven,"I've been stupid, too."
Hopper,"I guess we broke our rule. I don't hate it, by the way. This whole... look. It's kinda cool."
Eleven,"Bitchin'."
Hopper,"Okay. Sure. Bitchin'."
Steve,"All right. It should fit now."
Dustin,"Is this really necessary?"
Steve,"Yes, it is, okay? This is a ground-breaking scientific discovery. We can't just bury it like some common mammal, okay? It's not a dog."
Dustin,"All right, all right, all right."
Steve,"But you're explaining this to Mrs. Byers, all right? Christ. Help me out."
Dustin,"What am I supposed to do?"
Steve,"Get the door, man."
Dustin,"All right, I got the door."
Lucas,"Mike, would you just stop already?"
Mike,"You weren't in there, okay, Lucas? That lab is swarming with hundreds of those dogs."
Dustin,"Demo-dogs!"
Lucas,"The chief will take care of her."
Steve,"Like she needs protection."
Mike,"Listen, dude, a coach calls a play in a game, bottom line, you execute it. All right?"
Lucas,"Okay, first of all, this isn't some stupid sports game. And second, we're not even in the game. We're on the bench."
Mike,"So my point is..."
Steve,"Right, yeah, we're on the bench, so, uh, there's nothing we can do."
Dustin,"That's not entirely true. I mean, these Demo-dogs, they have a hive mind. When they ran away from the bus, they were called away."
Lucas,"If we get their attention..."
Mike,"Maybe we can draw them from the lab."
Steve,"Clear a path to the gate."
Dustin,"Yeah, and then we all die."
Steve,"That's one point of view."
Dustin,"No, that's not a point of view, man. That's a fact."
Mike,"I got it! This is where the chief dug his hole. This is our way into the tunnel. So... Here, right here. This is like a hub. So you got all the tunnels feeding in here. Maybe if we set this on fire..."
Steve,"Oh, yeah? That's a no."
Dustin,"The mind flayer would call away his army."
Lucas,"They'd all come to stop us."
Mike,"We circle back to the exit."
Steve,"Guys."
Dustin,"By the time they realize we're gone..."
Mike,"El would be at the gate."
Steve,"Hey. Hey! Hey! This is not happening."
Mike,"But..."
Steve,"No, no, no, no, no. No buts. I promised I'd keep you shitheads safe, and that's exactly what I plan on. We're staying here. On the bench. And we're waiting for the starting team to do their job. Does everybody understand?"
Mike,"This isn't a stupid sports game."
Steve,"I said does everybody understand that? I need a yes."
Max,"It's my brother. He can't know I'm here. He'll kill me. He'll kill us."
Billy,"Am I dreaming, or is that you, Harrington?"
Steve,"Yeah, it's me. Don't cream your pants."
Billy,"What are you doing here, amigo?"
Steve,"I could ask you the same thing. Amigo."
Billy,"Looking for my stepsister. A little birdie told me she was here."
Steve,"Huh, that's weird. I don't know her."
Billy,"Small? Redhead? Bit of a bitch."
Steve,"Doesn't ring a bell. Sorry, buddy."
Billy,"You know, I don't know, this... This whole situation, Harrington, I don't know. It's giving me the heebie-jeebies."
Steve,"Oh, yeah? Why's that?"
Billy,"My 13-year-old sister goes missing all day. And then I find her with you in a stranger's house. And you lie to me about it."
Steve,"Man, were you dropped too much as a child, or what? I don't know what you don't understand about what I just said. She's not here."
Billy,"Then who is that?"
Mike,"Shit! Did he see us?"
Steve,"Oh, shit. Listen..."
Billy,"I told you to plant your feet."
Billy,"Well, well, well. Lucas Sinclair. What a surprise. I thought I told you to stay away from him, Max."
Max,"Billy, go away."
Billy,"You disobeyed me. And you know what happens when you disobey me."
Max,"Billy..."
Billy,"I break things."
Max,"Billy! Stop! Billy! Stop!"
Lucas,"Get off of me, you..."
Billy,"Since Maxine won't listen to me, maybe you will. You stay away from her. Stay away from her! You hear me?"
Lucas,"I said get off me!"
Billy,"So dead, Sinclair! You're dead."
Max,"No. You are."
Max,"Steve!"
Billy,"Looks like you got some fire in you after all, huh? I've been waiting to meet this King Steve everybody's been telling me so much about."
Steve,"Get out."
Dustin,"Yes! Kick his ass, Steve!"
Mike,"Get him!"
Dustin,"Murder the son of a bitch! Now! Now!"
Mike,"Get that shithead!"
Dustin,"Kill the son of a bitch!"
Lucas,"Steve!"
Max,"Billy!"
Mike,"Holy shit!"
Billy,"No one tells me what to do! Whoo! Get up!"
Dustin,"You're gonna kill him."
Billy,"The hell is this? You little shit, what did you do? What did you do?"
Mike,"Shit."
Max,"From here on out, you leave me and my friends alone. Do you understand?"
Billy,"Screw you."
Max,"Say you understand! Say it! Say it!"
Billy,"I understand."
Max,"What?"
Billy,"I understand."
Max,"Let's get out of here."
Jonathan,"It's actually kinda nice."
Joyce,"We'll do it here."
Jonathan,"Are you sure this is a good idea?"
Joyce,"This thing has had Will long enough. Let's kill the son of a bitch."
Eleven,"Papa!"
Hopper,"All right. You let me do the heavy lifting up front, all right? You save your strength till we're below. You okay?"
Dustin,"Nancy? No, don't touch it. Hey, buddy... It's okay. You put up a good fight. He kicked your ass, but you put up a fight. You're okay."
Lucas,"Okay, you're gonna keep straight for a half a mile, then make a left on Mount Sinai."
Steve,"What's going on? Oh, my God!"
Max,"Just relax. She's driven before."
Mike,"Yeah, in a parking lot."
Lucas,"That counts."
Dustin,"They were gonna leave you behind."
Steve,"Oh, my God."
Dustin,"I promised that you'd be cool, okay?"
Steve,"Whoa, whoa, whoa, whoa. What's going on? Oh, my God. No! Whoa! Stop the car. Slow down."
Mike,"I told you he'd freak out."
Steve,"Stop the car!"
Max,"Everybody shut up! I'm trying to focus!"
Lucas,"Oh, wait, that's Mount Sinai. Make a left."
Mike,"What?"
Lucas,"Make a left."
Will,"What's happening? It hurts. It hurts! It hurts! It hurts! Let me go! Let me go! It hurts! It hurts! Let me go! Let me go! It hurts!"
Will,"Mom."
Joyce,"No!"
Will,"Let me go! Let me go! Let me go!"
Dustin,"Hello! Whoa!"
Mike,"Incredible."
Max,"I told you. Zoomer."
Steve,"Guys. Oh, no. Guys. Hey, where do you think you're going? What are you, deaf? Hello? We are not going down there right now. I made myself clear. Hey, there's no chance we're going to that hole, all right? This ends right now!"
Dustin,"Steve, you're upset, I get it. But the bottom line is, a party member requires assistance, and it is our duty to provide that assistance. Now, I know you promised Nance that you would keep us safe. So, keep us safe."
Steve,"Holy shit."
Mike,"Yeah, I'm pretty sure it's this way."
Dustin,"You're pretty sure, or you're certain?"
Mike,"I'm 100% sure. Just follow me and you'll know."
Steve,"Whoa, whoa, whoa. Hey, hey, hey, hey. I don't think so."
Mike,"What?"
Steve,"Any of you little shits die down here, I'm getting the blame. Got it, dipshit? From here on out, I'm leading the way. Come on, let's go. Come on. Hey, a little hustle."
Hopper,"Stay here. Oh, shit. Hey, Doc."
Owens,"Those suckers got you pretty good, huh?"
Hopper,"It's okay, don't talk. Don't talk. I got you. I got you. I got you. Oh, yeah, I've been meaning to tell you. This is Eleven. Eleven, Doc Owens. Doc Owens, Eleven. She's been staying with me for about a year and she's about to save our asses. Maybe when this is all said and done, maybe you could help her out, too, you know? Maybe you could help her lead, like, a normal life. One where she's not poked and prodded and... treated like some kind of lab rat, you know? I don't know, just a thought. But, uh... think about it. Don't go anywhere."
Lucas,"God."
Max,"What is this place?"
Steve,"Guys, come on. Keep moving."
Dustin,"What the hell? Shit! Help! Help! Help!"
Mike,"Dustin."
Dustin,"Shit!"
Lucas,"Dustin!"
Max,"Dustin!"
Steve,"What happened?"
Dustin,"It's in my mouth! Some got on my mouth! Shit! I'm okay."
Max,"You serious?"
Lucas,"Very funny, man."
Max,"Nice. Very nice."
Mike,"Jesus, what an idiot."
Dustin,"Hang on. Wait, wait."
Steve,"All right, Wheeler. I think we found your hub."
Mike,"Drench it."
Will,"It's not working. It's not working. Mom, are you listening to me?"
Joyce,"Just wait!"
Jonathan,"How much longer? Look... look at him!"
Joyce,"Jonathan, wait!"
Jonathan,"You're killing him!"
Joyce,"Just wait!"
Jonathan,"No!"
Joyce,"No, leave it!"
Jonathan,"You're killing him!"
Joyce,"Leave it!"
Jonathan,"Wait, Jonathan, Jonathan! His neck! His neck!"
Hopper,"Stay here."
Steve,"You ready?"
Mike,"Yeah."
Lucas,"Ready."
Max,"Ready."
Dustin,"Light her up."
Steve,"I am in such deep shit."
Joyce,"Get the hell out of my son!"
Mike,"Go, go, go!"
Dustin,"Let's go, let's go!"
Steve,"Oh, my God. Oh, my God."
Joyce,"Will, baby. Will. Will. Please, Will. Will."
Jonathan,"Come on, buddy."
Joyce,"Please. Can you hear me? Please. Will."
Will,"Mom?"
Joyce,"Oh, honey. Oh, God."
Jonathan,"Chief, are you there? Chief, do you copy?"
Hopper,"Yeah, I copy."
Jonathan,"Close it."
Steve,"Oh, my God! Oh, my God! Oh, my God! Oh, my God! Hey, this way!"
Mike,"Help! Help! Help! Help!"
Steve,"Hold on!"
Dustin,"Steve, pull him out."
Lucas,"Everybody back! Back! You good?"
Dustin,"You okay?"
Steve,"Guys, we gotta go!"
Dustin,"Dart. Shh. Stop."
Max,"Dustin, get back."
Dustin,"Trust me, please. Hey. It's me, it's me. It's just your friend, it's Dustin. It's Dustin, all right? You remember me? Will you let us pass? Okay, okay, I'm sorry. I'm sorry about the storm cellar. That was a pretty douchey thing to do. You hungry? Yeah? I've got our favorite. See? Nougat. Look at that. Yummy. Here, all right? Eat up, buddy. Come on. Come on. There's plenty. I've got more. Goodbye, buddy."
Lucas,"He's insane."
Mike,"Don't."
Steve,"Shut up."
Mike,"Let's go."
Steve,"Let's go, let's go!"
Kali,"I want you to find something from your past, something that angers you. Now channel it."
Eleven,"Papa!"
Hopper,"Jesus!"
Max,"What was that?"
Mike,"They're coming. Run! Run!"
Lucas,"There, there!"
Mike,"Come on! Let's go."
Max,"Lucas, come on. Reach for my hand."
Lucas,"Come on. Pull him."
Steve,"Here."
Dustin,"Come on! No! This is... Eleven."
Dr. Brenner,"You have a wound, Eleven. A terrible wound."
Eleven,"The gate, I opened it."
Dr. Brenner,"And it's festering."
Eleven,"I'm the monster."
Dr. Brenner,"And it will grow. Spread."
Eleven,"Papa!"
Dr. Brenner,"And eventually, it will kill you."
Hopper,"Jane! You did good, kid. You did so good."
Reporter,"Since the release of the incendiary tape, the once quiet town of Hawkins, Indiana, has spent time in a place it never expected. The national spotlight. Under mounting pressure, several high-ranking members from the U.S. Department of Energy have admitted involvement in the death and cover-up of Hawkins resident Barbara Holland who died due to exposure to an experimental chemical asphyxiant, which had leaked from the grounds of the lab. We sent our own April Kline to Hawkins to speak to residents, residents who told us they thought they lived in a safe town. The kind of town where, they say, nothing ever happens."
Powell,"Chief-o."
Hopper,"How's the leg?"
Powell,"Better. Pretty sure my football career is over."
Hopper,"Want some? No way I'm gonna finish it."
Powell,"No. I'm, uh... on a diet."
Hopper,"Well, you're a better man than me."
Powell,"Hey, got a little something for you."
Owens,"I thought..."
Powell,"Sometimes I impress even myself. Still, I'd let things cool off for a while, if I were you."
Hopper,"How long is a while?"
Powell,"Want to be safe? I give it a year."
Hopper,"A year? What about one night out?"
Powell,"One night?"
Hopper,"Yeah. How risky would that be?"
Powell,"What's so important about one night?"
Joyce,"Yeah, you got it. See?"
Will,"Mom!"
Joyce,"Wow!"
Will,"Do you always have to be filming everything?"
Jonathan,"No, no. Just the good stuff."
Joyce,"Are you sure people still dance like this?"
Jonathan,"Yeah. It's just what's happening."
Joyce,"Is it what's happening?"
Jonathan,"Yeah, yeah, it's what's happening. Oh, wait. All right, that's enough. One more, okay? Just one more."
Joyce,"Why?"
Jonathan,"You look so handsome."
Will,"Mom!"
Nancy,"Mike."
Lucas,"Hey... wanna dance?"
Dustin,"No."
Lucas,"We should, you know, get out there, like, do our thing... Stop."
Dustin,"I love this song."
Lucas,"You?"
Dustin,"Yeah, I love it. But not as much as I love you, Lukey."
Lucas,"Get out of my room! Ow, ow. That hurts."
Susan,"It's gonna be worth it. Promise."
Max,"See? Pretty."
Dustin,"Son of a bitch! Son of a bitch!"
Susan,"Where did you see it last?"
Dustin,"Right here, where I put it."
Susan,"What's in there that's so important anyway? You look fabulous, baby. Got it. That's your ride. Dusty!"
Steve,"All right, buddy, here we are. So, remember, once you get in there..."
Dustin,"Pretend like I don't care."
Steve,"You don't care."
Dustin,"I don't care."
Steve,"There you go. You're learning, my friend. You're learning."
Dustin,"Hey."
Steve,"What? Come on. You look great, okay? You look... You look great. Okay? Now you're gonna go in there..."
Dustin,"Yeah."
Steve,"Look like a million bucks."
Dustin,"Yeah."
Steve,"And you're gonna slay 'em dead."
Dustin,"Like a lion."
Steve,"Don't do that, okay?"
Dustin,"Okay."
Steve,"Good luck."
Student,"Looking very snazzy tonight, sir."
Dustin,"Thank you, my lord."
Jonathan,"Hey, Nance."
Nancy,"Hey."
Jonathan,"What's in this?"
Nancy,"Pure fuel."
Dustin,"Holy shit. What happened to you?"
Steve,"What do you mean, 'What happened'?"
Dustin,"What?"
Steve,"Dude."
Dustin,"Your hair."
Steve,"Is there a bird nesting in there?"
Dustin,"What do you mean, 'What's wrong'? There's no bird nesting in here, asshole. Okay? I worked hard."
Lucas,"Max... Hey. Um, it's nice, right? You want to, um... You want to, like... You know? Like, just you and me?"
Max,"Are you trying to ask me to dance, stalker?"
Lucas,"No, of course not. Unless you want to."
Max,"So smooth. Come on."
Girl,"Hey, Zombie Boy. Do you want to dance?"
Will,"Um... I don't... I mean... I mean, yeah. Sure."
Girl,"Cool."
Dustin,"Wish me luck, Mike. I'm going in. Stacy."
Girl,"He just broke up with Jennifer."
Dustin,"Stacy."
Stacy,"Yeah?"
Dustin,"Shall we?"
Stacy,"Um, no, thanks."
Dustin,"Oh, my God."
Mike,"Hey."
Eleven,"Hey."
Mike,"Wanna dance?"
Eleven,"What?"
Mike,"Come on. Let's go. Here. Mmm-hmm. Closer. A little closer. Okay. Now feel the music. The rhythm. Start to move to it. Yeah. There."
Eleven,"Good?"
Mike,"That's good. Yeah. Okay. You know, out of all of my brother's friends, you're my favorite. You've always been my favorite."
Eleven,"Really?"
Mike,"Yeah."
Nancy,"Girls this age are dumb. But give them a few years, and they'll wise up. And, uh, you're gonna drive them nuts."
Dustin,"You think so?"
Nancy,"Oh, I know so."
Hopper,"Hey."
Joyce,"Hey. Will wanted me to give him some space, so... I'm giving him a few feet."
Hopper,"What do you say? I'm pretty sure that Mr. Cooper retired in the '70s, so... we might be okay. How are you holding up?"
Joyce,"You know."
Hopper,"Yeah. That feeling never goes away. It is true what they say, you know. Every day it does get a little easier."
Mike,"You look beautiful. Do you wanna dance?"
Eleven,"I don't know how."
Mike,"I don't either. Do you want to figure it out? Like this."
Eleven,"Yeah, like that."
