name, line
Mike, "Screw his funeral!"
Lucas, "What?"
Mike, "Just get over here stat. And bring Dustin."
Mike, "Over and out."
Coroner, "What’s taking so long?"
Gary, "Well, everything’s been a bit chaotic around here without Gary."
Joyce, "Without Gary?"
Gary, "Well, I thought you knew."
Gary, "Those men from State, they... they sent Gary home last night."
Joyce, "So who did the autopsy?"
Gary, "Someone from State."
Joyce, "He has a birth mark on his right arm."
Joyce, "Can you show that to me, please?"
Jonathan, "How’s your mom doing?"
Hopper, "I don’t know."
Jonathan, "How long’s this stuff been going on? With the lights and, uh..."
Jonathan, "Will and the thing in the wall?"
Hopper, "Since the first phone call, I guess."
Hopper, "You know, she’s had anxiety problems... in the past."
Hopper, "But this..."
Hopper, "I don’t know."
Hopper, "I’m worried it could be..."
Hopper, "Ugh, I don’t know."
Hopper, "She’ll be okay."
Hopper, "We’ll be okay."
Hopper, "My mom..."
Hopper, "she’s tough."
Jonathan, "Yeah, she is."
Hopper, "Hey."
Hopper, "She is."
Coroner, "Ma’am!"
Coroner, "Ma’am, I need you to sign!"
Joyce, "I don’t..."
Joyce, "I don’t know what you think that thing is in there, but that is not my son!"
Jonathan, "Joyce, wait a second."
Joyce, "No!"
Jonathan, "Mom!"
Coroner, "Ma’am, I... Ma’am!"
Steve, "So, wait a sec. I don’t understand. You went back to my house?"
Nancy, "To look for Barb."
Steve, "Yeah, okay, but why didn’t you just talk to me?"
Steve, "That’s crazy."
Nancy, "I don’t know, I... I was scared."
Steve, "You seriously think you saw a guy in a mask just hanging out in my yard?"
Nancy, "I don’t think it was a mask."
Steve, "But he had no face?"
Nancy, "I don’t know!"
Nancy, "I don’t know, I just..."
Nancy, "I have a terrible feeling about this."
Nancy, "Oh, this is bad."
Nancy, "This is really bad."
Steve, "What?"
Nancy, "The cops..."
Nancy, "they’re gonna want to talk to all of us now."
Nancy, "Tommy, Carol, everybody who was at the party."
Steve, "So?"
Nancy, "My parents are gonna murder me!"
Steve, "Are you serious right now?"
Nancy, "You don’t understand. My dad’s a grade-A asshole."
Steve, "Barb is missing! And you’re worried about your dad?"
Nancy, "Okay, just... When you talk to the cops, just..."
Nancy, "don’t mention the beers."
Nancy, "It’s just gonna get us both in trouble,"
Nancy, "and Barbara’s got nothing to do with it, okay?"
Nancy, "I can’t believe you right now."
Nancy, "I can’t believe you."
Steve, "Nancy."
Steve, "Nancy, wait!"
Steve, "Nancy!"
Jonathan, "Mom, will you get in?"
Joyce, "No, I..."
Joyce, "I need to think. Just go on home."
Jonathan, "Mom, will you just get in, please?"
Jonathan, "Mom."
Jonathan, "Mom!"
Jonathan, "Mom."
Joyce, "Stop."
Joyce, "Just go home, Jonathan."
Jonathan, "No, this is not an okay time for you to shut down."
Joyce, "Shut down? What..."
Jonathan, "We have to deal with this, Mom."
Jonathan, "We have to deal with the funeral!"
Joyce, "The funeral?"
Joyce, "For... for who?"
Joyce, "For that thing back there?"
Jonathan, "Okay, let me get this straight."
Jonathan, "Will, that’s not his body, because he’s in the lights, right?"
Jonathan, "And there’s a monster in the wall?"
Jonathan, "Do you even hear yourself?"
Joyce, "I know it sounds crazy."
Joyce, "I sound crazy!"
Jonathan, "Yeah."
Joyce, "You think I don’t know that?"
Joyce, "It is crazy!"
Joyce, "But I heard him, Jonathan."
Joyce, "He talked to me!"
Joyce, "Will is... is calling to me!"
Joyce, "And he’s out there, and he’s alone, and he’s scared, and I..."
Joyce, "I don’t care if anyone believes me!"
Joyce, "I am not gonna stop looking for him until I find him and bring him home."
Joyce, "I am going to bring him home!"
Jonathan, "Yeah, well, while you’re talking to the lights,"
Jonathan, "the rest of us are having a funeral for Will!"
Jonathan, "I’m not letting him sit in that freezer another day!"
Hopper, "All right, show’s over."
Lucas, "What?"
Mike, "We keep losing the signal, but you heard it, right?"
Lucas, "Yeah, I heard a baby."
Mike, "What?"
Lucas, "Mike, you obviously tapped into a baby monitor."
Lucas, "It’s probably the Blackburns’ next door."
Mike, "Uh, did that sound like a baby to you?"
Mike, "That was Will!"
Lucas, "Mike..."
Mike, "Lucas, you don’t understand. He spoke last night."
Mike, "Words!"
Mike, "He was singing that weird song he loves. Even El heard him!"
Lucas, "Oh, well, if the weirdo heard him, then I guess..."
Dustin, "Are you sure you’re on the right channel?"
Mike, "I don’t think it’s about that."
Mike, "I think, somehow, she’s channeling him."
Dustin, "Like... like Professor X."
Mike, "Yeah."
Lucas, "Are you actually believing this crap?"
Dustin, "I don’t know, I mean..."
Dustin, "Do you remember when Will fell off his bike and broke his finger?"
Dustin, "He sounded a lot like that."
Lucas, "Did you guys not see what I saw?"
Lucas, "They pulled Will’s body out of the water."
Lucas, "He’s dead!"
Mike, "Well, maybe it’s his ghost. Maybe he’s haunting us."
Lucas, "It’s not his ghost."
Mike, "So how do you know that?"
Lucas, "I just do!"
Mike, "Then what was in that water?"
Lucas, "I don’t know!"
Lucas, "All I know is Will is alive."
Lucas, "Will is alive!"
Lucas, "He’s out there somewhere."
Lucas, "All we have to do is find him."
Mike, "This isn’t gonna work."
Mike, "We need to get El to a stronger radio."
Dustin, "Mr. Clarke’s Heathkit ham shack."
Mike, "Yeah."
Dustin, "The Heathkit’s at school."
Dustin, "There is no way we’re gonna get the weirdo in there without anyone noticing."
Dustin, "I mean... look at her."
Mike, "Wow."
Lucas, "She looks..."
Mike, "Pretty."
Mike, "Good."
Mike, "You look pretty good."
Eleven, "Pretty."
Eleven, "Good."
Mike, "Clear."
Shepard, "You boys hear me all right in there?"
Man, "Loud and clear, Shepard."
Shepard, "Good luck in there, son."
Teacher, "The brown current ran swiftly out of the heart of darkness,"
Teacher, "bearing us down towards the sea"
Teacher, "with twice the speed of our upward progress."
Teacher, "And Kurtz’s life was running swiftly, too..."
Powell, "Nancy Wheeler?"
Powell, "If you’ll come with me, please?"
Powell, "This argument you and Barbara had?"
Powell, "What exactly was it about?"
Nancy, "It wasn’t really an argument."
Nancy, "Barb just wanted to leave."
Nancy, "I didn’t, so, I..."
Nancy, "I told her to just go home."
Powell, "Then what?"
Nancy, "Then I went upstairs to put on some dry clothes."
Powell, "And the next day, you went back and..."
Powell, "saw a bear, you’re thinking?"
Nancy, "I don’t know what it was, but..."
Nancy, "I think..."
Nancy, "I think maybe it took Barb."
Nancy, "You need to check behind Steve’s house..."
Powell, "We did."
Powell, "There’s nothing there."
Powell, "There’s no sign of a bear."
Callahan, "And no car."
Nancy, "What?"
Callahan, "Look."
Callahan, "We figure that Barbara came back last night"
Callahan, "and then she took off, went somewhere else."
Callahan, "Has she ever talked to you about running off?"
Callahan, "Leaving town, maybe?"
Nancy, "No."
Nancy, "No, Barb wouldn’t do that, ever."
Powell, "She wasn’t maybe upset about the fact that you were spending time with this boy?"
Powell, "Uh, Steve Harrington?"
Nancy, "What? No!"
Powell, "Maybe she was jealous because she saw you go up to Steve’s room?"
Nancy, "It wasn’t like that."
Powell, "Like what?"
Nancy, "Steve and me, we’re... we’re just friends."
Nancy, "We... we just talked."
Powell, "Now was this before or after you changed out of your clothes?"
Hopper, "So, Gary, tell me about these troopers that brought in Will."
Gary, "It was about six of ’em, I’d say."
Hopper, "They’re all Staties?"
Gary, "Yes, sir."
Hopper, "Never seen that many troopers come with a body before."
Gary, "They told you that they were gonna take care of the autopsy, huh?"
Gary, "Yeah. Claimed jurisdiction. Kicked me out."
Gary, "Well, it all seemed a bit over the top to me, considering..."
Hopper, "Considering what?"
Gary, "Considering this was Will Byers and not John F. Kennedy."
Hopper, "Thanks for stopping by, Gary."
Gary, "Sure thing."
Reporter, "...let the people know that, uh, the troopers are on duty"
Reporter, "and you should be safe, because we think this is just an isolated incident."
Reporter, "State trooper David O’Bannon, thank you so much for your help."
O'Bannon, "Thank you, sir."
Reporter, "Back to you..."
Mike, "Okay, remember, if anyone sees us, look sad."
Man on PA, "Attention students,"
Man on PA, "there will be an assembly to honor Will Byers in the gymnasium now."
Man on PA, "Do not go to fourth period."
Mike, "It’s locked."
Lucas, "What?"
Mike, "Hey, do you think you can open it?"
Mike, "With your powers?"
Mr. Clarke, "Boys?"
Lucas, "Hey."
Mr. Clarke, "Assembly’s about to start."
Mike, "We know."
Mike, "We’re just, you know..."
Dustin, "Upset."
Mike, "Yeah, definitely upset."
Lucas, "We need some alone time."
Dustin, "To cry."
Mr. Clarke, "Yeah, listen..."
Mr. Clarke, "I get it. I do."
Mr. Clarke, "I know how hard this is, but let’s just be there for Will, huh?"
Mr. Clarke, "And then..."
Mr. Clarke, "the Heathkit is all yours for the rest of the day."
Mr. Clarke, "What do you say?"
Mr. Clarke, "I don’t believe we’ve met. What’s your name?"
Eleven, "Eleven..."
Mike, "Eleanor! She’s my, uh..."
Lucas, "Cousin."
Dustin, "Second cousin."
Mike, "She’s here for Will’s funeral."
Mr. Clarke, "Ah, well, welcome to Hawkins Middle, Eleanor."
Mr. Clarke, "I wish you were here under better circumstances."
Eleven, "Thank you."
Mr. Clarke, "Uh, where are you from exactly?"
Eleven, "Bad place..."
Mike, "Sweden!"
Lucas, "I have a lot of Swedish family."
Dustin, "She hates it there."
Lucas, "Cold!"
Dustin, "Subzero."
Mr. Clarke, "Shall we?"
Mike, "Yep!"
Principal, "At times like these..."
Principal, "it is important that we come together as a community."
Principal, "We come..."
Lucas, "Abort."
Principal, "We come together to heal..."
Principal, "we come together to grieve..."
Karen, "You lied to the police!"
Nancy, "I didn’t lie!"
Karen, "How naive do you think I am?"
Karen, "You and Steve were just talking?"
Nancy, "We slept together!"
Nancy, "Is that what you want to know? It doesn’t matter!"
Karen, "It does matter!"
Nancy, "No! It is all bullshit!"
Nancy, "It has nothing to do with Barb and she’s missing."
Nancy, "And something terrible happened to her. I know it."
Nancy, "I know it!"
Nancy, "And no one is listening to me!"
Karen, "Sweetie, sweetie, I’m listening."
Karen, "I’m listening to you..."
Nancy, "No! You’re not!"
Karen, "Nancy... Nancy!"
Nancy, "Just leave me alone!"
Scientist, "Try him again."
Scientist, "Shepard, come in. Confirm comm."
Scientist, "Shepard, come in. Confirm comm."
Shepard, "This is Shepard. Confirming, over."
Scientist, "Shepard. Where are you?"
Scientist, "Can you describe to us what it is you see? Over."
Shepard, "It’s low visibility. I’m about 1 klick south of the rift."
Shepard, "Everything’s still here, but it’s all eroding. It’s covered in--"
Scientist, "Shepard? Do you copy?"
Scientist, "Shepard? Can you hear me?"
Shepard, "There’s something else... There’s something else in here!"
Scientist, "Reel him in."
Man, "Get him in."
Scientist, "Come on, come on! Faster!"
Shepard, "There’s something else in here!"
Shepard, "Pull me out! Pull me out, pull me out!"
Shepard, "Pull me out! Pull me out!"
Man 1, "Shepard, come in. Over."
Man 2, "Comms are down, sir."
Man 1, "Shepard, come in! Over."
Principal, "Will Byers’ death is an unimaginable tragedy."
Principal, "Will was an exceptional student and a wonderful friend to all of us."
Principal, "It’s impossible to express the hole his loss will leave in our community."
Principal, "I’d like to introduce you to Sandy Sloane."
Principal, "She’s a local grief counselor from the church over in Jonesboro."
Principal, "But before she comes up here,"
Principal, "I just want those of you who are having trouble dealing with this tragic loss..."
Troy, "Look at these fakers."
James, "They probably didn’t even know his name till today."
James, "What?"
Troy, "Who is interested in this? This is so stupid."
Troy, "Blah, blah, blah, blah, blah..."
Troy, "Oh, he was such a great student."
Troy, "Oh, he’s going to leave a hole in the community."
Eleven, "Mouth breather."
Mike, "Hey! Hey!"
Mike, "Hey, Troy!"
Mike, "Hey, Troy!"
Mike, "You... you think this is funny?"
Troy, "What’d you say, Wheeler?"
Mike, "I saw you guys laughing over there."
Mike, "And I think that’s a real messed up thing to do."
James, "Didn’t you listen to the counselor, Wheeler?"
James, "Grief shows itself in funny ways."
Troy, "Besides, what’s there to be sad about, anyway?"
Troy, "Will’s in fairyland now, right?"
Troy, "Flying around with all the other little fairies."
Troy, "All happy and gay!"
Troy, "You’re dead, Wheeler!"
Troy, "Dead!"
Dustin, "Dude, Troy peed himself."
Dustin, "Holy shit!"
Teacher, "Hey! What’s going on here?"
Mike, "Mike! Let’s go!"
Funeral Director, "It’s made of soft wood with a crepe interior."
Funeral Director, "Uh, now, I... I don’t know what your budget is,"
Funeral Director, "but over here, we... we have copper and bronze."
Jonathan, "Can you just give me a second?"
Funeral Director, "Of course."
Nancy, "Hey."
Jonathan, "Hey."
Nancy, "Your mom, um... she said you’d be here."
Nancy, "I just..."
Nancy, "Can we talk for a second?"
Jonathan, "It looks like it could be some kind of perspective distortion,"
Jonathan, "but I wasn’t using the wide angle."
Jonathan, "I don’t know."
Jonathan, "It’s weird."
Nancy, "And you’re sure you didn’t see anyone else out there?"
Jonathan, "No."
Jonathan, "And she was there one second and then, um..."
Jonathan, "gone."
Jonathan, "I figured she bolted."
Nancy, "The cops think that she ran away."
Nancy, "But they don’t know Barb."
Nancy, "And I went back to Steve’s..."
Nancy, "and I thought I..."
Nancy, "saw something."
Nancy, "Some..."
Nancy, "weird man or..."
Nancy, "I don’t know what it was."
Nancy, "I’m sorry."
Nancy, "I... I shouldn’t have come here today. I’m..."
Nancy, "I’m so sorry."
Jonathan, "What’d he look like?"
Nancy, "What?"
Jonathan, "This man you saw in the woods."
Jonathan, "What’d he look like?"
Nancy, "I don’t know."
Nancy, "It was almost like he..."
Nancy, "he didn’t have..."
Jonathan, "Didn’t have a face?"
Nancy, "How did you know that?"
Hopper, "Aw, come on!"
Hopper, "Another, please."
Hopper, "And another for my, uh, friend here."
O'Bannon, "Oh, thanks, man. Appreciate it."
Hopper, "Yeah, that’s all right. I’m, uh... I’m celebrating."
Hopper, "My daughter, she won the spelling bee today."
O'Bannon, "Is that right?"
Hopper, "Yeah, that’s right."
Hopper, "‘Odontalgia.’"
Hopper, "That was the word."
Hopper, "You know what it means?"
Hopper, "It’s a fancy name for a toothache."
Hopper, "Yeah, she’s smart. She’s real smart. Don’t know where she gets it from."
Hopper, "I’ve been tryin’ to figure that out for years."
O'Bannon, "Your daughter, she got a name?"
Hopper, "What?"
O'Bannon, "Your daughter? What’s her name?"
Hopper, "Sarah."
Hopper, "Her name’s Sarah."
Hopper, "To Sarah."
O'Bannon, "I recognize you."
O'Bannon, "Are you famous or somethin’?"
Hopper, "Uh, you might have seen me on TV, I, uh... I found that Byers boy."
O'Bannon, "So, you on that case or what?"
Hopper, "I just saw him on patrol, you know?"
Hopper, "Dumb luck."
O'Bannon, "So that quarry, that’s, uh..."
O'Bannon, "that’s state-run, where they found the boy, huh?"
Hopper, "Yeah."
Hopper, "Yeah, well, that’s funny."
Hopper, "’Cause, you know, I know for a fact that it’s run by the Sattler Company."
Hopper, "Frank Sattler? Decent guy, still got a couple operational quarries up in Roane."
O'Bannon, "Is that right?"
Hopper, "Yeah."
Hopper, "That’s right."
Hopper, "So why are you lying to me, man?"
O'Bannon, "What’s your problem, bud?"
Hopper, "I don’t have a problem."
Hopper, "I’m just a concerned citizen."
O'Bannon, "Yeah?"
O'Bannon, "Well, stick your nose someplace else."
O'Bannon, "The kid is dead."
O'Bannon, "End of story."
O'Bannon, "Thanks for ruining the game, dick."
Hopper, "Okay..."
Hopper, "Let’s try this one more time."
Hopper, "Who told you to be out there?"
Hopper, "What were you doing out there?"
O'Bannon, "I don’t know!"
O'Bannon, "I don’t know. They..."
O'Bannon, "they just told me to call it in and not let anybody get too close."
Hopper, "Get close to what?"
O'Bannon, "The body."
Hopper, "Who do you work for?"
Hopper, "The NSA? Hawkins Lab?"
O'Bannon, "You’re gonna get us both killed."
Hopper, "Who is that?"
Hopper, "Who is that?"
Hopper, "Hey! Hey!"
Joyce, "Come on!"
Joyce, "Come on!"
Joyce, "Talk to me!"
Joyce, "I know you’re here!"
Mike, "Come on."
Mike, "Now what?"
Dustin, "She’ll find him."
Dustin, "Right, El?"
Joyce, "Eleven?"
Joyce, "Are you listening?"
Joyce, "That man before you..."
Joyce, "I need you to find him."
Eleven, "Hurt him?"
Joyce, "No."
Joyce, "No, I don’t want you to hurt him."
Joyce, "I want you to listen to him."
Joyce, "Listen?"
Eleven, "Yes."
Joyce, "I want you to listen to what he says and repeat his words back to me."
Joyce, "Just like we used to with those old nursery rhymes."
Joyce, "Do you remember?"
Joyce, "Hmm?"
Joyce, "Do you think you can do that for me?"
Eleven, "Mmm-hmm."
Joyce, "Good."
Man 1 on PA, "Begin."
Man 2, "Amulet."
Man 2, "Frigid."
Man 2, "Evolve."
Man 2, "Airplane."
Joyce, "Eleven?"
Joyce, "Repeat the words."
Man 2 on PA, "Apricot."
Man 2 on PA, "Peninsula."
Man 2 on PA, "Game."
Man 2 on PA, "Enchantment."
Man 2 on PA, "Mouse."
Man 2 on PA, "Balloon."
Mike, "She’s doing it."
Mike, "She’s finding him!"
Lucas, "This is crazy."
Dustin, "Calm down. She just closed her eyes."
Mike, "Holy..."
Joyce, "Will?"
Mike, "No way!"
Joyce, "Will!"
Will, "Mom..."
Joyce, "Will!"
Will, "Please..."
Joyce, "Will!"
Joyce, "Will!"
Joyce, "Will..."
Joyce, "Will!"
Will, "Mom!"
Joyce, "I’m here! I’m here!"
Will, "Mom!"
Joyce, "Will!"
Mike, "Will, it’s us! Are you there?"
Lucas, "Can you hear us? We’re here!"
Will, "Hello? Mom?"
Dustin, "Why can’t he hear us?"
Mike, "I don’t know!"
Joyce, "Baby..."
Will, "Mom?"
Joyce, "Oh, God. Will!"
Will, "Mom!"
Joyce, "Oh, thank God."
Joyce, "Baby..."
Joyce, "Will..."
Will, "Mom..."
Will, "Mom, it’s coming!"
Joyce, "Tell me where you are! How do I get to you?"
Will, "It’s like home, but it’s so dark..."
Will, "It’s so dark and empty. And it’s cold!"
Will, "Mom? Mom!"
Joyce, "Listen to me! I swear I’m gonna get to you, okay?"
Joyce, "But right now, I need you to hide."
Will, "Mom, please!"
Joyce, "No, no, listen! Listen, I..."
Joyce, "I will find you, but you have to run now!"
Joyce, "Run! Run!"
Mike, "El, are you okay?"
Lucas, "Oh!"
Mike, "Can you move?"
Mike, "Here, help her up."
Mike, "This way!"
Nancy, "And you’re..."
Jonathan, "Brightening. Enlarging."
Nancy, "Hmm."
Nancy, "Did your mom say anything else?"
Nancy, "Like, um, where it might have gone to, or..."
Jonathan, "No, just that it came out of the wall."
Nancy, "How long does this take?"
Jonathan, "Not long."
Nancy, "Have you been..."
Nancy, "doing this a while?"
Jonathan, "What?"
Nancy, "Photography?"
Jonathan, "Yeah."
Jonathan, "I guess I’d rather observe people than, you know..."
Jonathan, "Talk to them."
Nancy, "I know. It’s weird."
Jonathan, "No!"
Nancy, "No, it is."
Nancy, "It’s just, sometimes..."
Nancy, "people don’t really say what they’re really thinking."
Nancy, "But you capture the right moment..."
Nancy, "it says more."
Nancy, "What was I saying?"
Jonathan, "What?"
Nancy, "When you took my picture."
Jonathan, "I shouldn’t have taken that."
Jonathan, "I’m, uh..."
Jonathan, "I’m sorry."
Jonathan, "It’s just..."
Jonathan, "That’s it."
Nancy, "That’s what I saw."
Jonathan, "My mom..."
Jonathan, "I thought she was crazy"
Jonathan, "’cause she said..."
Jonathan, "that’s not Will’s body. That he’s alive."
Nancy, "And if he’s alive..."
Jonathan, "Then Barbara."
Hopper, "Hey, Patty!"
Patty, "Hey, uh, need something, Chief?"
Hopper, "Oh, you know, I forgot my hat."
Patty, "Oh."
Hopper, "I’ll just be a minute."
Hopper, "Hey, I love that book. It’s a nasty mutt."
Coroner, "Hey, you can’t be back here."
Hopper, "Yeah, I just got off the line with O’Bannon."
Hopper, "He said that he needs to see you at the station."
Hopper, "It’s some emergency..."
Coroner, "What the hell are you talking about?"
Coroner, "I don’t work with O’Bannon."
Hopper, "Did I say O’Bannon? I meant..."
Hopper, "Okay."
Lonnie, "Babe..."
Lonnie, "Jesus, the hell happened?"
Joyce, "Lonnie."
